,Name,Ingredients
72,Bakson's Pilgo Tablet,
73,SBL Belladonna Dilution 30 CH,
74,SBL Homeocal Tablet,
75,SBL Bio-Combination 25 Tablet,
76,SBL Sabal Serrulata Mother Tincture Q,
77,SBL Arnica Montana Mother Tincture Q,Arnica Dilution
78,Bakson's Vitamin D Plus Tablet,
79,Dr. Reckeweg Aalserum 7X Mother Tincture Q,
80,SBL Cineraria Maritima Euphrasia Eye Drop,
81,SBL Magnesia Phosphorica Biochemic Tablet 6X,
82,SBL Lycopodium Clavatum Dilution 30 CH,
83,SBL Calendula Cream,
84,Dr Willmar Schwabe Germany Biofungin Syrup,
85,Dr. Reckeweg R85 High Blood Pressure Drop,Use as directed on the label or as advised by the physician.
86,SBL Crataegus Oxyacantha Q Mother Tincture,Extracts from the crataegus Oxyacantha plant
87,Dr Willmar Schwabe India Alpha-Coff Cough Syrup,
88,New Life NL-2 Blood Urea Creatinin Drop,"Serum Anguillae 6, Echinacea Angustufolia 12x, Terebinthinae Oleum 6, Uranium Nitricum 12x, Apis Mellifica 12x, Bereberis Vulgaris 12x, Saesaparilla 12x"
89,SBL Sulphur Dilution 200 CH,
90,SBL Aconitum Napellus Dilution 30 CH,
91,Bakson's Gastro Aid Tablet,
92,SBL Rauwolfia Serpentina Mother Tincture Q,
93,SBL Bryonia Alba Dilution 200 CH,
94,SBL Five Phos Tablet 6X,
95,SBL Nixocid Tablet,"Natrum phosphoricum 3x, Lycopodium Cavatum 3x, Carbo Vegetabilis 6x, Robinia Pseudacacia 3x\"
96,Dr Willmar Schwabe India Cydonia Vulgaris Dilution 30 CH,
97,Bakson's Sinus Aid Tablet,
98,SBL Rite-Hite Tablet,
99,SBL Bio-Combination 21 Tablet,
100,SBL Rhus Toxicodendron Dilution 30 CH,
101,ADEL 4 Apo-Rheum Drop,
102,SBL Alfalfa Malt Energy Stimulant Delicious Chocolate,
103,Dr. Reckeweg R1 Inflammation Drop,
104,SBL Diaboherb Capsule,
105,SBL Gymnema Sylvestre Mother Tincture Q,
106,Dr Willmar Schwabe India Dizester Digestive Tonic Sugar Free,
107,Bakson's Biocombination 17 Tablet,
108,SBL Carbo Vegetabilis Dilution 30 CH,
109,Dr. Reckeweg R2 Essentia Aurea-Gold Drop,Use as directed on the label or as advised by your healthcare provider. 
110,SBL Ferrum Phosphoricum Biochemic Tablet 6X,Dosage should be directed by the physician. 
111,Dr. Reckeweg R95 Alfalfa Tonic,
112,SBL Thuja Ointment,Apply on the affected area two times in a day or as prescribed by the physician
113,New Life Bach Flower Rescue Remedy 30,"Rock Rose, Cherry Plum, Impatiens, Clematis"
114,SBL Caladium Seguinum Dilution 30 CH,Caladium Seguinum
115,SBL Tribulus Terrestris Mother Tincture Q,Take 10 drops of Tribulus Terrestris Mother Tincture diluted in half cup of water thrice a day or as directed by the physician
116,SBL Belladonna Dilution 200 CH,
117,SBL Bio-Combination 20 Tablet,"For adults, 4 tablets every three hours or four times a day and for children,1 to 2 tablets 4 times a day. Dosage should be directed by the physician."
118,ADEL 51 Psy-Stabil Drop,Read the label carefully before use.
119,SBL Passiflora Incarnata Mother Tincture Q,
120,Dr. Reckeweg Vita-C 15 Nerve Tonic,
121,SBL Echinacea Angustifolia Mother Tincture Q,
122,SBL Phytolacca Berry Mother Tincture Q,
123,SBL Calendula Officinalis Mother Tincture Q,Calendula Officinalis 
124,SBL Allium Cepa Dilution 30 CH,
125,SBL Lycopodium Clavatum Dilution 200 CH,
126,SBL Drops No. 8 ( For Allergic Rhinitis),
127,Bakson's Tonsil Aid Tablet,Take 1 Bakson’s Tonsils Aids Tablets 3-4 times a day or as directed by the physician.
128,SBL Urtica Urens Mother Tincture Q,
129,SBL Tranquil Tablet,"Abrus precatorius 6CH, Aconitum napellus 6CH, Atropa belladonna 6CH, Calendula officinalis 6CH, Chelidonium majus 6CH, Viburnum opulus 6CH, Kali Phosphoricum 6CH, Zincum Picricum 6CH."
130,SBL Bio-Combination 19 Tablet, 
131,SBL Damiana Mother Tincture Q,Damiana Dilution
132,SBL Sulphur Dilution 30 CH,
133,Lord's Ylo Tablet,
134,SBL FP Ointment,Apply on the affected area two times in a day or as prescribed by the physician
135,SBL Hepar Sulphur Dilution 200 CH,
136,Bakson's Hite Aid Tablet,
137,Bakson's Gastro Aid Tablet,
138,Medisynth Jondila Sugar Free Syrup,"CarduusMarianus 2x, Carica Papaya 2x, ChelidoniumMajus 1x, ChionanthusVirginica 1x, AndrographisPaniculata (Kalmegh) 2x, MyricaCerifera 1x"
139,Dr. Reckeweg R3 Heart Drop,Use as directed on the label or as advised by your healthcare provider. 
140,Dr. Reckeweg V-C 15 Forte Tonic,
141,SBL Terminalia Arjuna Mother Tincture Q,
142,SBL Euphrasia 10% Eye Drop, 
143,Dr Willmar Schwabe India Sabal Serrulata Mother Tincture Q,Sabal Serrulata
144,Dr Willmar Schwabe India Alpha-Liv Liver Tonic,
145,SBL Bio-Combination 17 Tablet,
146,Essentia Aurea Gold Drop,Take 10 to 20 drops three or four times a day in some water or as directed by the physician.
147,SBL Carbo Vegetabilis Dilution 200 CH,
148,SBL Arnica Gel,Apply on the affected area two times in a day or as prescribed by the physician
149,Allen Derma Plus Cream,
150,Dr Willmar Schwabe India Arnica Montana Mother Tincture Q,Arnica Dilution
151,ADEL 28 Plevent Drop,Read the label carefully before use.
152,SBL Aspidosperma Quebracho Mother Tincture Q,
153,Dr Willmar Schwabe India Chelidonium Majus Mother Tincture Q,Chelidonium Majus
154,Dr Willmar Schwabe India Munostim Globules,
155,ADEL 18 Glucorect Drop,Use as directed on the label or as advised by your healthcare provider. 
156,SBL Pulsatilla Nigricans Dilution 200 CH,
157,SBL Carduus Marianus Mother Tincture Q,Carduus Marianus
158,SBL Cephalandra Indica Mother Tincture Q,Cephalandra Indica 
159,SBL Histaminum Dilution 200 CH,As directed by the physician
160,SBL Sabal Serrulata Dilution 30 CH,Take 5 drops of Dr Willmar Schwabe India Sabal Serrulata Dilution in 1/4th cup of water thrice a day or as directed by the physician
161,SBL Drops No. 4 (For BP),"10 to 15 drops in 1/4th cup of water, 3-4 times in a day or as advised by the physician"
162,Dr. Reckeweg R6 Influenza Drop, 
163,SBL Cholesterinum Trituration Tablet 3X,Cholesterinum
164,SBL Nixocid Syrup,"Natrum phosphoricum 3x, Lycopodium Cavatum 3x, Carbo Vegetabilis 6x, Robinia Pseudacacia 3x\"
165,New Life Bach Flower Rescue Remedy 30,"Rock Rose, Cherry Plum, Impatiens, Clematis"
166,Dr Willmar Schwabe India Withania Somnifera (Aswagandha) Mother Tincture Q,
167,SBL Arsenicum Album Dilution 200 CH,
168,SBL Natrum Muriaticum Dilution 30 CH,
169,Dr Willmar Schwabe India Sabal Pentarkan Drop,"Sabal Serrulata, Echinacea Purpurea, Passiflora Incarnata, Cantharis and Mercurius Biliodatus"
170,ADEL 17 Glautaract Drop,Use as directed on the label or as advised by your healthcare provider. 
171,SBL Ginseng Mother Tincture Q,Ginseng (Panax Quinquefolium)
172,SBL Avena Sativa Mother Tincture Q,Avena Sativa
173,ADEL 9 Cri-Regen Drop,Use as directed on the label or as advised by your healthcare provider. 
174,SBL Thuja Occidentalis Mother Tincture Q,Take 10-15 drops of Mother Tincture diluted in half cup water thrice a day or as directed by the physician
175,SBL Bio-Combination 28 Tablet,"For adult, 4 tablets every three hours or four times a day and for children, half of the adult dose or as prescribed by the physician."
176,Adven Osteodin-Z Oral Drops (25ml Each),
177,SBL Alfalfa Tonic with Ginseng,
178,SBL Calcarea Carbonica Dilution 200 CH,
179,SBL Ginkgo Biloba Mother Tincture Q,
180,SBL Gelsemium Sempervirens Dilution 30 CH, 
181,SBL Acidum Phosphoricum Mother Tincture Q,Acidum Phosphoricum 
182,SBL Hamamelis Virginica Mother Tincture Q,
183,SBL Kali Muriaticum Biochemic Tablet 6X,
184,SBL Histaminum Dilution 30 CH,As directed by the physician
185,SBL Calcarea Fluorica Biochemic Tablet 12X,
186,SBL Alfalfa Mother Tincture Q,
187,Bakson's Spondy Aid Drop,"Acid form. 3x, Colch. ant. 5x, Rhus tox. 3X, Ledum pal 3x, Dulcamara 3x, Gels. semp. 3x, Ulmus 5x"
188,SBL Vertefine Drop,"10 to 15 drops in 1/4 th cup of water, 3 to 4 times in a day or as directed by the physician"
189,Dr Willmar Schwabe India Berberis Pentarkan Tablet,"Berberis Vulgaris, Lycopodium Clavatum, Urtica Urens, Taraxacum Officinale, Lactose"
190,Dr Willmar Schwabe India Jaborandi Mother Tincture Q,Take 10 drops of Dr Willmar Schwabe India Jaborandi Mother Tincture diluted with half cup of water thrice a day or as directed by the physician.
191,SBL Swertia Chirata Mother Tincture Q,Take 10 drops of Swertia Chirata Mother Tincture diluted in half cup water thrice a day or as directed by the physician.
192,Dr Willmar Schwabe India Phytolacca Berry Mother Tincture Q,Take 10-15 drops of Dr Willmar Schwabe India Phytolacca Berry Mother Tincture in half cup water thrice a day or as directed by the physician
193,Dr Willmar Schwabe India Topi Thuja Cream,
194,SBL Mercurius Solubilis Dilution 30 CH,
195,SBL Antimonium Tartaricum Dilution 30 CH,
196,SBL Withania Somnifera Mother Tincture Q,Take 10-15 drops of Withania Somnifera Mother Tincture diluted in half cup water thrice a day or as directed by the physician
197,SBL Hypericum Perforatum Dilution 200 CH,"Dosage should be advised by the physician. Maintain 30 minutes gap between drink, food or any other medication.Avoid strong smell in the mouth before taking a dose"
198,SBL Pothos Foetidus Mother Tincture Q,
199,SBL Alfalfa Tonic Paediatric,
200,SBL Stobal Cough Syrup,"Pulsatilla Nigricans 3, Justicia Adhatoda 3x, Rumex Crispus 3x, Ipecacuanha 3"
201,SBL Drops No. 3 (For UTI),"15 to 20 drops in 1/4th cup of water, 4 times in a day or as advised by the physician"
202,SBL Causticum Dilution 200 CH,
203,SBL Cantharis Mother Tincture Q,Cantharis 
204,Allen A87 Creatinine & Blood Urea Drop,
205,SBL Aesculus Ointment,Apply ointment two times a daily on clean and dried affected area or as prescribed by the physician
206,Dr Willmar Schwabe India Passiflora Incarnata Mother Tincture Q, 
207,SBL Ruta Graveolens Dilution 200 CH,Take 10 drops of Ruta Graveolens Dilution with water thrice a day or as directed by the physician. 
208,SBL Justicia Adhatoda Mother Tincture Q,Take 10 drops of SBL Justicia Adhatoda Mother Tincture diluted in half cup of water thrice a day or as directed by the physician.
209,SBL Apis Mellifica Dilution 30 CH,
210,SBL Ferrumsip Syrup,
211,SBL Natrum Muriaticum Biochemic Tablet 6X,
212,Dr Willmar Schwabe India Hydrastis Canadensis Mother Tincture Q,
213,ADEL 2 Apo-Ham Drop,Use as directed on the label or as advised by your healthcare provider. 
214,SBL Silicea Dilution 200 CH,Dosage should be prescribed by the physician
215,SBL Agnus Castus Dilution 30 CH,
216,SBL Pulsatilla Nigricans Dilution 30 CH,
217,SBL Hepar Sulphur Dilution 30 CH,
218,SBL Natrum Phosphoricum Biochemic Tablet 6X,
219,Bhargava Tumorin Drop,
220,SBL Wiesbaden Dilution 30 CH,As directed by the physician
221,SBL AF-Tabs Tablet,
222,SBL Drops No. 1 (For Hair Care),10-15 drops in 1/4 cup of water 3-4 times a day or as directed by the physician
223,Dr Willmar Schwabe India Berberis Vulgaris Mother Tincture Q,Berberis Vulgaris
224,Bakson's Wart Aid Tablet, 
225,Dr Willmar Schwabe India Nux Vomica Dilution 30 CH,
226,SBL AT-Tabs Ant- Traumatic Tablet,
227,Dr Willmar Schwabe India Aesculus Pentarkan Drop,
228,ADEL 11 Defaeton Drop,Use as directed on the label or as advised by your healthcare provider
229,SBL Ocimum Sanctum Mother Tincture Q,
230,Dr Willmar Schwabe India Ginseng Mother Tincture Q, 
231,Bjain Syzygium Jambolanum Mother Tincture Q,
232,Dr. Reckeweg Chelidonium Maj Mother Tincture Q,
233,Bakson's Hair Color Dark Brown Sachet,Make sure the hair is dry and not too oily before applying the hair colour. Shampoo your hair if it not dry and is oily.Mix the colour powder in 8 teaspoons lukewarm water to form a fine paste. Apply it using a brush and partition your hair using a comb and apply from the hair roots brushing it upwards to ensure it covers all hair strands. Allow it to dry for 30 minutes before rinsing off well with luke warm water.
234,ADEL 36 Pollon Drop,Read the label carefully before use.
235,Bakson B22 Sinus Drop,
236,Dr Willmar Schwabe India Alpha - MP Drop,
237,SBL Silicea Biochemic Tablet 6X,Dosage should be prescribed by the physician
238,Boericke and Tafel Anti-Dandruff Shampoo,
239,Dr Willmar Schwabe India Topi Berberis Aquifolium Cream,
240,Dr Willmar Schwabe India Crataegus Oxyacantha Mother Tincture Q,Extracts from the crataegus oxyacantha plant
241,SBL Thuja Occidentalis Dilution 30 CH,
242,SBL Fraxinus Americana Mother Tincture Q,"Frax Amer extracts, Sucrose/Lactose"
243,Dr Willmar Schwabe India Rauwolfia Serpentina Mother Tincture Q,
244,ADEL 6 Apo-Strum Drop,Read the label carefully before use.
245,SBL Silk N Stay Antiseptic Calendula Soap,
246,SBL Blatta Orientalis Mother Tincture Q,
247,ADEL 66 Toxex Drop,Read the label carefully before use.
248,Bhargava Garcinia Cambogia Drop, 
249,ADEL 21 Proscenat Drop,Use as directed on the label or as advised by your healthcare provider. 
250,Dr Willmar Schwabe India Rauwolfia Serpentina Tablet 1X,
251,German's No Piles Care and Cure Drop,
252,Boericke and Tafel Glow & Fairness Soap,
253,SBL Drops No. 6 (For Joint Pain),
254,Bakson's Rheum Aid Tablet,It soothes pain in muscle joints and relieve muscle weakness and fatigue
255,ADEL 25 Somcupin Drop,Use as directed on the label or as advised by your healthcare provider. 
256,SBL Cineraria Maritima Eye Drops Free From Alcohol,
257,Dr Willmar Schwabe India Syzygium Jambolanum Trituration Tablet 1X,Syzgium Jambolanum
258,SBL Nuphar Lutea Mother Tincture Q,Take 10 drops of Mother Tincture diluted in half cup water thrice a day or as directed by the physician
259,ADEL 5 Apo-Stom Drop,Read the label carefully before use.
260,SBL Hydrangea Arborescens Mother Tincture Q,Take 10-15 drops of Mother Tincture diluted in half cup water thrice a day or as directed by the physician.
261,SBL Calcarea Phosphorica Biochemic Tablet 12X,
262,Allen A82 Premature Greying Of Hair Drop,"10 to 15 drops in 1/2 cup of water, 4 times in a day or as advised by the physician"
263,Allen A70 I.B.S.(Irritable Bowel Syndrome) Drop,
264,SBL Allium Sativum Mother Tincture Q, 
265,SBL Chionanthus Virginica Mother Tincture Q,Chinonanthus Virginica 
266,Bakson's Mig Aid Tablet,"1 tablet, 4 times in a day or as directed by physician"
267,ADEL 44 Venorbis Drop,Read the label carefully before use.
268,Bakson's Calci Aid Tablet,"For adults 1 tablet, twice a day and for children 1 tablet, once a day. Or as prescribed by the physician."
269,SBL Thyroidinum Trituration Tablet 6X,As directed by the physician
270,Dr Willmar Schwabe India Thuja Occidentalis Dilution 200 CH,
271,SBL Five Phos A+ Nerve Tonic,
272,Allen Dewarts Cream,
273,SBL Drops No. 7 (For Sinusitis),
274,Bakson's Natrum Sulphuricum Biochemic Tablet 30X,As mentioned on the label.
275,SBL Yohimbinum Mother Tincture Q,Take 10-15 drops of Yohimbinum Mother Tincture in half cup water thrice a day or directed by the physician
276,Bakson's Kali Phosphoricum Biochemic Tablet 30X,
277,SBL Agnus Castus Mother Tincture Q,Angus Castus
278,SBL Kalmegh Syrup,
279,SBL Alfalfa Tonic with Ginseng Sugar Free,
280,SBL Tonsilat Tablet,
281,Allen A15 Indigestion Gas & Acidity Drop,
282,SBL Fucus Vesiculosus Mother Tincture Q,Fucus vesiculosus with alcohol
283,Bakson B69 Sciatica Drop,
284,Dr Willmar Schwabe India Tribulus Terrestris Mother Tincture Q,Take 10 drops of Dr Willmar Schwabe India Tribulus Terrestris Mother Tincture diluted in half cup of water thrice a day or as directed by the physician
285,SBL Symphytum Officinale Mother Tincture Q,Take 10 drops in half cup of water twice a day or as advised by a physician
286,Dr Willmar Schwabe India Alfalfa Tonic For Children,
287,SBL Aurum Muriaticum Natronatum Trituration Tablet 3X,
288,Allen A92 C.K.D.(Chronic Kidney Diseases) Drop,
289,SBL Phytolacca Berry Tablet,
290,SBL Crataegus Oxyacantha Q Mother Tincture,Extracts from the crataegus Oxyacantha plant
291,Bakson's Diab Aid Drop,
292,ADEL 83 Bronchi-Pertu Syrup,Use as directed on the label or as advised by your healthcare provider. 
293,Dr Willmar Schwabe India Alpha - TS Drop,
294,SBL Thiosinaminum Trituration Tablet 3X,"As advised by a physician. Maintain 30 minutes gap between any drink, food or other medications. Avoid any strong smell in mouth while consuming the dosage"
295,Dr Willmar Schwabe India Nisikind Globules,
296,Bakson's Flu Aid Tablet,
297,SBL Sarsaparilla Mother Tincture Q,"Take 15 drops of this medicine in a half cup of water twice a day for 3 months.The appropriate dose of this medicine depends on several factors such as the users health, age and several other conditions."
298,Dr Willmar Schwabe India Aspidosperma Mother Tincture Q,
299,Dr Willmar Schwabe India Alpha - Acid Tablet,
300,SBL Cineraria Maritima Eye Drops Free From Alcohol,
301,Dr Willmar Schwabe India Nuphar Lutea Mother Tincture Q, 
302,SBL Kali Phosphoricum Biochemic Tablet 12X,
303,Dr Willmar Schwabe India Hamamelis Virginica Mother Tincture Q,Take 10-15 drops of Dr Willmar Schwabe India Hamamelis Virginica Mother Tincture diluted in half cup of water thrice a day or as directed by the physician.
304,SBL Sleeptite Tablet,
305,Dr Willmar Schwabe India Damiana Mother Tincture Q,Damiana Dilution
306,Bakson's Alfalfa Tonic with Ginseng,
307,ADEL 16 Gastul Drop,Use as directed on the label or as advised by your healthcare provider. 
308,SBL Ache-Nil Drop,
309,SBL Gaultheria Procumbens Mother Tincture Q,
310,SBL Paeonia Officianalis Mother Tincture Q,Take 10 drops of Paeonia Officinalis Mother Tincture diluted in water thrice a day or as directed by the physician.
311,ADEL 79 Ferrodona Tonic,Use as directed on the label or as advised by your healthcare provider. 
312,Wheezal Eye Bright Eye Drop,2 drops in each eye 2 to 3 times in a day or as prescribed by the physician
313,Dr Willmar Schwabe India Ginseng MT Tablet 1X,
314,Dr. Reckeweg Aspidosperma Mother Tincture Q,
315,SBL Bio-Combination 10 Tablet, 
316,Dr Willmar Schwabe India Carduus Marianus Mother Tincture Q,Carduus Marianus
317,Dr Willmar Schwabe India Alpha - HA Drop,
318,Bakson's Nasal Aid Spray,
319,ADEL 22 Renelix Drop,Use as directed on the label or as advised by your healthcare provider. 
320,Bakson B9 Hemorrhoidal Drop,
321,Hapdco B.Ve. Phos Children Tonic,1 spoon 3 times a day with water or milk or as directed by the physician
322,Allen Snorid Drop,
323,Allen Osteofit Tablet,
324,Dr Willmar Schwabe India Alpha - WD Drop,
325,SBL Ceanothus Americanus Mother Tincture Q, 
326,ADEL 78 Dercut Ointment,Read the label carefully before use.
327,SBL Cineraria Maritima Euphrasia Eye Drop,
328,Dr. Reckeweg R4 Diarrhoea Drop, 
329,Dr Willmar Schwabe India Kali Phosphoricum Biochemic Tablet 6X,
330,Wheezal Nosoline Nasal Spray,
331,REPL Dr. Advice No.70 Nodules Drop, 
332,Dr Willmar Schwabe India Phytolacca Berry Tablet (4 in 1 Combo Pack) Tablet,
333,ADEL Acid Phos Mother Tincture Q,Acidum Phosphoricum 
334,Allen A90 Ovarian Cysts Drop,
335,Bakson's Beepee Aid Drop,
336,Bakson's Pelvi Aid Tablet,
337,Bakson's Chrysarobinum Ointment, 
338,Bakson's Gastro Aid Syrup,
339,Allen A02 Anti Fungal Drop, 
340,Wheezal Renal Forte Drop,15 to 20 drops to be taken 3 to 5 times in a day or as prescribed by the physician
341,Bakson's Phytolacca Berry Tablet,Phytolacca berry 1x.
342,ADEL 73 Mucan Drop,Read the label carefully before use.
343,SBL Kali Phosphoricum Dilution 30 CH,
344,SBL Drops No. 9 ( For Cough),
345,Dr Willmar Schwabe India Topi Aesculus Cream,
346,Bjain Jaborandi Mother Tincture Q,Take 10 drops of Bjain Jaborandi Mother Tincture diluted with half cup of water thrice a day or as directed by the physician.
347,ADEL 1 Apo-Dolor Drop,Use as directed on the label or as advised by your healthcare provider
348,SBL Argentum Nitricum Dilution 200 CH,
349,Bakson's Acne Aid Tablet,
350,Bakson B1 Influenza & Fever Drop,
351,Allen A26 Piles Drop,"Take 8 to 10 drops in half cup of water, 3 times in a day or as directed by the physician"
352,Rxhomeo Bryonia Alba Pellets 30C,
353,Bakson's Kof Aid Cough Syrup,
354,SBL Arsenicum Sulph Flavum Trituration Tablet 3X,
355,Allen A69 Anal Fissures Drop,
356,Bakson's Kali Phosphoricum Biochemic Tablet 3X,
357,Dr Willmar Schwabe India Aurum Muriaticum Natronatum Trituration Tablet 3X,
358,SBL Solidago Virgaurea Mother Tincture Q,Take 10 drops of Solidago Virgaurea Mother Tincture diluted in half cup of water thrice a day or as directed by the physician. 
359,Bakson's Natrum Muriaticum Biochemic Tablet 12X,
360,Bakson's Biocombination 11 Tablet,
361,Allen A44 Hyper Acidity & Ulcer Drop,"Take 8 to 10 drops in half cup of water, 3 times in a day before meals or as directed by the physician"
362,Bakson B28 Weight Drop,
363,Hapdco B.Ve. Phos Children Tonic,1 spoon 3 times a day with water or milk or as directed by the physician
364,Bakson's Sunny Fairness Cream for Women,
365,Bakson's Sunny Fairness Cream for Men,
366,Lord's Cratin Drop, 
367,Wheezal Arnica Hair N Scalp Treatment Homeopathic Medicine,
368,Bakson's Hair Aid Drop Dual Pack (30ml Each),
369,SBL Baryta Carbonicum Dilution 30 CH,
370,New Life NL-4 Gall-B-Tone Drop,
371,Bakson's Aloevera Calendula Cream,Apply Bakson’s Aloevera Calendula Cream on your skin and massage gently. Use twice a day for best results.
372,Bakson B16 Vertigo Drop,
373,ADEL Berberis Vulg Mother Tincture Q,Berberis Vulgaris
374,SBL Hekla Lava Trituration Tablet 3X,Dosage should be prescribed by the physician.
375,ADEL Alfalfa Tonic with Ginseng,
376,Wheezal WL40 Varicose Veins Drop,
377,Wheezal WL36 Sciatica & Slip Disc Drop, 
378,Rxhomeo Arsenicum Album Pellets 200C,
379,Hapdco Ferrocin Drop,
380,Bakson's Arnica Shampoo, 
381,Allen A39 Anti Obesity Drop,"8 to 10 drops in half cup of water, 3 times in a day before meals or as directed by the physician"
382,SBL Bovista Dilution 6 CH,
383,SBL Aralia Racemosa Mother Tincture Q,"Dosage should be recommended by the physician.Maintain 30 minutes gap between drink, food or any other medication. Avoid strong smell in the mouth before taking a dose"
384,ADEL 14 Ferrodona Drop,Use as directed on the label or as advised by your healthcare provider.
385,Bakson's Compound # 5 Pain Joints Tablet,
386,SBL Lemna Minor Mother Tincture Q,
387,Bakson's Alfavena Malt,
388,Allen A08 Diabetes Drop,"8 to 10 drops in half cup of water, 3 times in a day before meals or as directed by the physician "
389,SBL Rosmarinus Officinalis Dilution 30 CH,Take 10 drops of Rosmarinus Officina Dilution in half cup water thrice a day or as directed by the physician.
